Data;Mês;Ano;Preco_Reais;Preco_Dolar;;Base2011_1_real;BaseMesAnterior
jan/11;1;2011;433,34;258,55;;1;1
fev/11;2;2011;495,98;297,28;;1,144551622;1
mar/11;3;2011;524,27;315,91;;1,209835233;1,144551622
abr/11;4;2011;524,41;330,82;;1,210158305;1,209835233
mai/11;5;2011;530,76;329,11;;1,224811926;1,210158305
jun/11;6;2011;514,99;324,37;;1,188420178;1,224811926
jul/11;7;2011;457,81;292,83;;1,056468362;1,188420178
ago/11;8;2011;470,62;294,98;;1,086029446;1,056468362
set/11;9;2011;511,57;292,46;;1,180527992;1,086029446
out/11;10;2011;490,45;277,26;;1,13179028;1,180527992
nov/11;11;2011;493,83;275,69;;1,13959016;1,13179028
dez/11;12;2011;491,35;267,3;;1,133867171;1,13959016
jan/12;1;2012;485,04;271,39;;1,119305857;1,133867171
fev/12;2;2012;441,31;256,94;;1,018392025;1,119305857
mar/12;3;2012;387,53;216,2;;0,894286242;1,018392025
abr/12;4;2012;379,53;204,52;;0,875824987;0,894286242
mai/12;5;2012;382,65;192,79;;0,883024877;0,875824987
jun/12;6;2012;360,31;175,71;;0,831471824;0,883024877
jul/12;7;2012;408,06;201,02;;0,941662436;0,831471824
ago/12;8;2012;378,48;186,64;;0,873401948;0,941662436
set/12;9;2012;385,92;190,37;;0,890570914;0,873401948
out/12;10;2012;374,98;184,76;;0,865325149;0,890570914
nov/12;11;2012;355,23;171,61;;0,819748927;0,865325149
dez/12;12;2012;341,4;164,15;;0,787834033;0,819748927
jan/13;1;2013;341,17;168,13;;0,787303272;0,787834033
fev/13;2;2013;317,72;160,95;;0,73318872;0,787303272
mar/13;3;2013;303,46;152,88;;0,700281534;0,73318872
abr/13;4;2013;300,59;150,11;;0,693658559;0,700281534
mai/13;5;2013;297,25;145,86;;0,685950985;0,693658559
jun/13;6;2013;285,71;131,49;;0,659320626;0,685950985
jul/13;7;2013;287,57;127,68;;0,663612867;0,659320626
ago/13;8;2013;286,18;122,07;;0,660405225;0,663612867
set/13;9;2013;273,9;120,84;;0,632067199;0,660405225
out/13;10;2013;253,94;115,88;;0,586006369;0,632067199
nov/13;11;2013;247,73;107,75;;0,57167582;0,586006369
dez/13;12;2013;272,1;115,9;;0,627913417;0,57167582
jan/14;1;2014;289,44;121,45;;0,667928186;0,627913417
fev/14;2;2014;366,32;153,96;;0,845340841;0,667928186
mar/14;3;2014;437,24;187,79;;1,008999862;0,845340841
abr/14;4;2014;449,45;201,45;;1,037176351;1,008999862
mai/14;5;2014;429,28;193,22;;0,990630913;1,037176351
jun/14;6;2014;396,73;177,47;;0,915516684;0,990630913
jul/14;7;2014;387,87;174,33;;0,895070845;0,915516684
ago/14;8;2014;437,19;192,76;;1,008884479;0,895070845
set/14;9;2014;433,52;185,81;;1,000415378;1,008884479
out/14;10;2014;480,13;196,14;;1,107975262;1,000415378
nov/14;11;2014;460,96;180,61;;1,063737481;1,107975262
dez/14;12;2014;455,2;172,39;;1,050445378;1,063737481
jan/15;1;2015;465,93;176,77;;1,075206535;1,050445378
fev/15;2;2015;459,99;163,39;;1,061499054;1,075206535
mar/15;3;2015;447,1;142,24;;1,031753358;1,061499054
abr/15;4;2015;445,69;146,55;;1,028499562;1,031753358
mai/15;5;2015;421,95;137,88;;0,973715789;1,028499562
jun/15;6;2015;424,02;136,35;;0,978492639;0,973715789
jul/15;7;2015;414,5;128,63;;0,956523746;0,978492639
ago/15;8;2015;454,98;129,57;;1,049937693;0,956523746
set/15;9;2015;456,95;117,05;;1,054483777;1,049937693
out/15;10;2015;478,11;123,31;;1,103313795;1,054483777
nov/15;11;2015;469,39;124,29;;1,083191028;1,103313795
dez/15;12;2015;479,32;123,94;;1,10610606;1,083191028
jan/16;1;2016;491,31;121,21;;1,133774865;1,10610606
fev/16;2;2016;489,82;123,32;;1,130336456;1,133774865
mar/16;3;2016;491,07;132,94;;1,133221027;1,130336456
abr/16;4;2016;466,71;131,4;;1,077006508;1,133221027
mai/16;5;2016;460,37;130,2;;1,062375963;1,077006508
jun/16;6;2016;484,87;142;;1,118913555;1,062375963
jul/16;7;2016;498,52;152,15;;1,150413071;1,118913555
ago/16;8;2016;479,04;149,35;;1,105459916;1,150413071
set/16;9;2016;502,95;154,57;;1,16063599;1,105459916
out/16;10;2016;511,07;160,61;;1,179374163;1,16063599
nov/16;11;2016;556,74;166,83;;1,28476485;1,179374163
dez/16;12;2016;501,8;149,66;;1,157982185;1,28476485
jan/17;1;2017;514,23;161,03;;1,186666359;1,157982185
fev/17;2;2017;508,65;163,98;;1,173789634;1,186666359
mar/17;3;2017;485,92;155,46;;1,121336595;1,173789634
abr/17;4;2017;467,63;148,96;;1,079129552;1,121336595
mai/17;5;2017;455,69;142,04;;1,05157613;1,079129552
jun/17;6;2017;445,85;135,27;;1,028868787;1,05157613
jul/17;7;2017;451,9;141,28;;1,04283011;1,028868787
ago/17;8;2017;458,77;145,63;;1,058683713;1,04283011
set/17;9;2017;453,46;144,61;;1,046430055;1,058683713
out/17;10;2017;445,95;139,61;;1,029099552;1,046430055
nov/17;11;2017;452,88;138,96;;1,045091614;1,029099552
dez/17;12;2017;447,36;135,78;;1,032353348;1,045091614
jan/18;1;2018;446,42;139,1;;1,030184151;1,032353348
fev/18;2;2018;438,33;135,18;;1,011515207;1,030184151
mar/18;3;2018;429,82;131,18;;0,991877048;1,011515207
abr/18;4;2018;430,71;126,39;;0,993930863;0,991877048
mai/18;5;2018;451,02;124,03;;1,040799372;0,993930863
jun/18;6;2018;452,52;119,67;;1,044260858;1,040799372
jul/18;7;2018;439,25;114,79;;1,013638252;1,044260858
ago/18;8;2018;421,16;107,24;;0,97189274;1,013638252
set/18;9;2018;415,39;101,15;;0,95857756;0,97189274
out/18;10;2018;441,23;117,45;;1,018207412;0,95857756
nov/18;11;2018;441,59;116,63;;1,019038169;1,018207412
dez/18;12;2018;420,32;108,24;;0,969954308;1,019038169
jan/19;1;2019;410,87;109,95;;0,948146952;0,969954308
fev/19;2;2019;407,7;109,58;;0,94083168;0,948146952
mar/19;3;2019;395,61;102,95;;0,912932109;0,94083168
abr/19;4;2019;384,35;98,69;;0,886947893;0,912932109
mai/19;5;2019;389,04;97,38;;0,897770804;0,886947893
jun/19;6;2019;411,94;106,7;;0,950616144;0,897770804
jul/19;7;2019;423,67;112,09;;0,977684959;0,950616144
ago/19;8;2019;408,74;101,61;;0,943231643;0,977684959
set/19;9;2019;430,63;104,43;;0,99374625;0,943231643
out/19;10;2019;421,59;103,26;;0,972885033;0,99374625
nov/19;11;2019;475,11;114,22;;1,096390825;0,972885033
dez/19;12;2019;545,17;132,66;;1,258065261;1,096390825
jan/20;1;2020;493,03;118,9;;1,137744035;1,258065261
fev/20;2;2020;481,91;110,86;;1,112082891;1,137744035
mar/20;3;2020;556,28;113,73;;1,283703328;1,112082891
abr/20;4;2020;584,56;109,76;;1,348963862;1,283703328
mai/20;5;2020;574,16;101,82;;1,324964231;1,348963862
jun/20;6;2020;483,25;93;;1,115175151;1,324964231
jul/20;7;2020;505,97;95,9;;1,167605114;1,115175151
ago/20;8;2020;578,85;106,03;;1,335787142;1,167605114
set/20;9;2020;564,62;104,66;;1,302949185;1,335787142
out/20;10;2020;536,6;95,33;;1,238288642;1,302949185
nov/20;11;2020;565,47;104,38;;1,304910694;1,238288642
dez/20;12;2020;594,33;115,62;;1,371509669;1,304910694
jan/21;1;2021;639,71;119,4;;1,476231135;1,371509669
fev/21;2;2021;685,21;126,35;;1,58122952;1,476231135
mar/21;3;2021;731,86;129,75;;1,68888171;1,58122952
abr/21;4;2021;744,14;133,81;;1,717219735;1,68888171
mai/21;5;2021;822,24;155,39;;1,897447732;1,717219735
jun/21;6;2021;850,96;169,36;;1,963723635;1,897447732
jul/21;7;2021;914,54;177,15;;2,110444455;1,963723635
ago/21;8;2021;1.033,92;196,96;;2,385932524;2,110444455
set/21;9;2021;1.087,61;205,48;;2,509830618;2,385932524
out/21;10;2021;1.222,20;220,78;;2,820418147;2,509830618
nov/21;11;2021;1.347,73;242,4;;3,110098306;2,820418147
dez/21;12;2021;1.452,15;256,67;;3,35106383;3,110098306
jan/22;1;2022;1.482,59;268,44;;3,421308903;3,35106383
fev/22;2;2022;1.485,35;286,16;;3,427678036;3,421308903
mar/22;3;2022;1.284,41;258,71;;2,963977477;3,427678036
abr/22;4;2022;1.256,17;268,18;;2,898809249;2,963977477
