Entity,Code,Year,Coal (TWh; direct energy),Oil (TWh; direct energy),Gas (TWh; direct energy)
World,OWID_WRL,1800,97,0,0
World,OWID_WRL,1810,128,0,0
World,OWID_WRL,1820,153,0,0
World,OWID_WRL,1830,264,0,0
World,OWID_WRL,1840,356,0,0
World,OWID_WRL,1850,569,0,0
World,OWID_WRL,1860,1061,0,0
World,OWID_WRL,1870,1642,6,0
World,OWID_WRL,1880,2542,33,0
World,OWID_WRL,1890,3856,89,33
World,OWID_WRL,1900,5728,181,64
World,OWID_WRL,1910,8656,397,142
World,OWID_WRL,1920,9833,889,233
World,OWID_WRL,1930,10125,1756,603
World,OWID_WRL,1940,11586,2653,875
World,OWID_WRL,1950,12603,5444,2092
World,OWID_WRL,1960,15442,11097,4472
World,OWID_WRL,1965,16140,18109,6303
World,OWID_WRL,1966,16324,19496,6869
World,OWID_WRL,1967,16061,20891,7375
World,OWID_WRL,1968,16301,22675,8044
World,OWID_WRL,1969,16799,24577,8833
World,OWID_WRL,1970,17059,26708,9614
World,OWID_WRL,1971,16966,28205,10292
World,OWID_WRL,1972,17154,30378,10861
World,OWID_WRL,1973,17668,32746,11378
World,OWID_WRL,1974,17682,32272,11656
World,OWID_WRL,1975,18025,31948,11661
World,OWID_WRL,1976,18688,34030,12356
World,OWID_WRL,1977,19241,35215,12761
World,OWID_WRL,1978,19458,36426,13294
World,OWID_WRL,1979,20364,37024,14119
World,OWID_WRL,1980,20858,35577,14239
World,OWID_WRL,1981,21150,34296,14394
World,OWID_WRL,1982,21384,33198,14469
World,OWID_WRL,1983,22045,32969,14703
World,OWID_WRL,1984,23000,33739,15903
World,OWID_WRL,1985,23986,33789,16261
World,OWID_WRL,1986,24256,34803,16419
World,OWID_WRL,1987,25210,35499,17281
World,OWID_WRL,1988,25965,36703,18089
World,OWID_WRL,1989,26213,37300,18869
World,OWID_WRL,1990,25895,37691,19483
World,OWID_WRL,1991,25643,37691,19975
World,OWID_WRL,1992,25550,38344,20067
World,OWID_WRL,1993,25675,38099,20269
World,OWID_WRL,1994,25774,38935,20394
World,OWID_WRL,1995,25954,39445,21108
World,OWID_WRL,1996,26572,40380,22164
World,OWID_WRL,1997,26527,41413,22033
World,OWID_WRL,1998,26360,41624,22439
World,OWID_WRL,1999,26522,42371,23075
World,OWID_WRL,2000,27417,42897,24000
World,OWID_WRL,2001,27853,43278,24331
World,OWID_WRL,2002,28945,43639,25053
World,OWID_WRL,2003,31497,44610,25753
World,OWID_WRL,2004,33664,46256,26736
World,OWID_WRL,2005,36171,46824,27464
World,OWID_WRL,2006,38071,47367,28175
World,OWID_WRL,2007,40224,47958,29325
World,OWID_WRL,2008,40770,47566,30025
World,OWID_WRL,2009,40149,46654,29411
World,OWID_WRL,2010,41997,48087,31606
World,OWID_WRL,2011,44018,48550,32372
World,OWID_WRL,2012,44185,49157,33219
World,OWID_WRL,2013,44993,49689,33767
World,OWID_WRL,2014,44954,50014,33994
World,OWID_WRL,2015,43844,50892,34781
World,OWID_WRL,2016,43196,51920,35589
World,OWID_WRL,2017,43360,52568,36586
World,OWID_WRL,2018,44109,53181,38517
World,OWID_WRL,2019,43849,53620,39292